"","country","continent","year","lifeExp","pop","gdpPercap","diff_lifeExp","diff_pop"
"1","Afghanistan","Asia",1952,28.801,8425333,779.4453145,0,0
"2","Afghanistan","Asia",1957,30.332,9240934,820.8530296,1.531,815601
"3","Afghanistan","Asia",1962,31.997,10267083,853.10071,1.665,1026149
"4","Afghanistan","Asia",1967,34.02,11537966,836.1971382,2.023,1270883
"5","Afghanistan","Asia",1972,36.088,13079460,739.9811058,2.068,1541494
"6","Afghanistan","Asia",1977,38.438,14880372,786.11336,2.35,1800912
"7","Afghanistan","Asia",1982,39.854,12881816,978.0114388,1.416,-1998556
"8","Afghanistan","Asia",1987,40.822,13867957,852.3959448,0.968000000000004,986141
"9","Afghanistan","Asia",1992,41.674,16317921,649.3413952,0.851999999999997,2449964
"10","Afghanistan","Asia",1997,41.763,22227415,635.341351,0.0889999999999986,5909494
"11","Afghanistan","Asia",2002,42.129,25268405,726.7340548,0.366,3040990
"12","Afghanistan","Asia",2007,43.828,31889923,974.5803384,1.69900000000001,6621518
"13","Albania","Europe",1952,55.23,1282697,1601.056136,0,0
"14","Albania","Europe",1957,59.28,1476505,1942.284244,4.05,193808
"15","Albania","Europe",1962,64.82,1728137,2312.888958,5.53999999999999,251632
"16","Albania","Europe",1967,66.22,1984060,2760.196931,1.40000000000001,255923
"17","Albania","Europe",1972,67.69,2263554,3313.422188,1.47,279494
"18","Albania","Europe",1977,68.93,2509048,3533.00391,1.24000000000001,245494
"19","Albania","Europe",1982,70.42,2780097,3630.880722,1.48999999999999,271049
"20","Albania","Europe",1987,72,3075321,3738.932735,1.58,295224
"21","Albania","Europe",1992,71.581,3326498,2497.437901,-0.418999999999997,251177
"22","Albania","Europe",1997,72.95,3428038,3193.054604,1.369,101540
"23","Albania","Europe",2002,75.651,3508512,4604.211737,2.70099999999999,80474
"24","Albania","Europe",2007,76.423,3600523,5937.029526,0.772000000000006,92011
"25","Algeria","Africa",1952,43.077,9279525,2449.008185,0,0
"26","Algeria","Africa",1957,45.685,10270856,3013.976023,2.608,991331
"27","Algeria","Africa",1962,48.303,11000948,2550.81688,2.61799999999999,730092
"28","Algeria","Africa",1967,51.407,12760499,3246.991771,3.104,1759551
